Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-11 3:25:33,mbs,ijsem,IJSEM-D-21-00620,Typesetter Check,Editor,level-2,Please fix the Probe validation error.,Empty p tag removed,Probe Validation,Others,Other,Product,Product bug,Deepika (TYPESETTER),5h 20m
2022-01-11 5:36:04,elife,elife,68648,Typesetter Review,Editor,level-2,Couldn't sign off the article. While clicking 'Approve' button error showing. See screenshot.Screenshot at 2022-01-11 11-04-37.pngFix this issue.,validation cleared,Probe Validation,Others,House style incorrect,Product,Product Missed Requirement,Ranjithkumar (TYPESETTER),3h 27m
2022-01-11 10:19:20,elife,elife,74985,Pre-editing,Editor,level-2,"Please fix below1. funding-exception] Scientific Correspondences cannot have funding, but this one has a funding-group element. Please remove it. 2. Error disp-subj-value-test-3 [disp-subj-value-test-3] Article is an @article-type=""article-commentary"" but the display channel is Scientific Correspondence. It should be 'Insight' according to the article-type. 3. Error back-test-7 [back-test-7] An fn-group[@content-type='competing-interest'] must be present as a child of back Scientific Correspondence content. Error back-test-11 [back-test-11] article-commentary type articles cannot contain additional information sections (sec[@sec-type=""additional-information""]). 4. Error additional-info-test-4 [additional-info-test-4] article-commentary type articles should not contain author contributions. 5. Error insight-related-article-test-1 [insight-related-article-test-1] Insight related article links must have the related-article-type 'commentary-article'. The link for 10.7554/eLife.75922 has 'article-reference'. Error insight-related-article-test-1 [insight-related-article-test-1] Insight related article links must have the related-article-type 'commentary-article'. The link for 10.7554/eLife.66028 has 'article-reference'.",listed validations fixed,Document elements,Metadata,House style incorrect,Process,Product New Requirement,Ranjithkumar (TYPESETTER),3h 22m
2022-01-11 6:37:13,elife,elife,74162,Typesetter Check,Editor,level-2,1. [fn-xref-presence-test] fn element with an id must have at least one xref element pointing to it.2. [fn-xref-presence-test] fn element with an id must have at least one xref element pointing to it.--Please fix footnote in XML its correc on kriya please check,Probe cleared,Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),8h 34m
2022-01-11 4:31:32,bjp,bjr,BJR-2021-0277.R1,Typesetter Review,Editor,level-2,"1. REf 31: Put ""Brainstorm Consortium"" as the first author (Collaboration author) for this reference.2. Key messages: Please tag this head 1- (Body matter first)3. Fix probe error",Listed issues fixed,Probe Validation,Others,PDF issues,Product,People Training,Ranjithkumar (TYPESETTER),4h 13m
2022-01-11 6:59:45,elife,elife,67846,Typesetter Review,Proofing,level-2,"Kindly fix page.no. 21, figure gets overlaps with text.",Fixed,Editor issue,XML structure - Misc,Other,Product,Product bug,Aysha (TYPESETTER),2h 59m
2022-01-11 14:11:53,elife,elife,67846,Typesetter Review,Editor,level-2,Fix this issue ASAP;[line-count] Articles without code blocks must only have one line in the xml. The xml for this article has 2.,validation fixed,Probe Validation,Others,User unable to override the house style,Product,Product Missed Requirement,Ranjithkumar (TYPESETTER),1h 55m
2022-01-11 11:10:57,bjp,bjr,BJR-2021-0341,Typesetter Review,Editor,level-2,"1. Ref 22: Please replace this reference title with the following (I am not able to do this myself for some reason): ""The classic. Operation for repair of the crucial ligaments Ernest W. Hey Groves, MD., F.R.C.S."" - I am also tried reference not saving2. Fix probe",listed validation fixed,Probe Validation,Others,Linking between the elements are incorrect,Product,Product Missed Requirement,Ranjithkumar (TYPESETTER),4h 52m
2022-01-11 14:30:54,elife,elife,74950,Typesetter Review,Editor,level-2,Attribute id should not be same.,validation cleared,Probe Validation,Others,User unable to override the house style,Product,People Training,Ranjithkumar (TYPESETTER),2h 7m
2022-01-11 7:27:06,elife,elife,68422,Typesetter Review,Editor,level-2,Please fix DTD and break error throughoutde78afae-727e-4d2f-9d82-225433ae9fe5.jpegf85195d7-8860-4fd9-a55c-d5523f6f587c.jpegde7fd43c-35b7-4fd5-8470-8e81987871c3.jpeg,break tag issue fixed,Probe Validation,Others,Other,Product,Product bug,Deepika (TYPESETTER),6h 44m
2022-01-11 4:52:22,bmj,bmjgast,bmjgast-2021-000842,Typesetter Review,Editor,level-2,Contributors statement displaying seems wrong. Kindly check and fix,Break tag content removed in contributors section. Please add Contributors statement please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 43m
2022-01-11 7:24:10,bmj,bmjgast,bmjgast-2021-000842,Typesetter Review,Editor,level-2,Clear probe error,validation fuxed,Probe Validation,Others,User unable to override the house style,Process,Product New Requirement,Ranjithkumar (TYPESETTER),9h 33m
2022-01-11 7:20:39,elife,elife,62863,Typesetter Review,Editor,level-2,Note that Appendix 2 section is tagged inside body matter. Kindly move the Appendix 2 section to the respective place in the back matter along with the other appendix section.Screenshot at 2022-01-11 12-43-44.pngDue to this issue errors throwing in xml validator. Kindly fix this issue in order to fix the xml errors.Screenshot at 2022-01-11 12-50-15.png,DTD error cleared,Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),3h 30m
