Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-21 6:04:06,elife,elife,74162,Typesetter Review,Editor,level-2,Screenshot 2022-01-21 at 11.30.39 AM.png - Please add link to figure citation including part label - we cant do it,part labels updated,Document elements,Figure component,Unable to add additional elements,Product,Product Missed Requirement,Ranjithkumar (TYPESETTER),4h 31m
2022-01-21 13:44:39,spe,spej,SPE-209235-PA,Typesetter Check,Editor,level-2,"1. Add comma after year ""Abdulkadir et al. (2014a,2021)"", ""Abdulkadir et al. (2018,2021)"", 2. Change ""Fig. 12b and 12c"" to ""Figs. 12b and 12c""3. Change ""Arabi et al. (2020a,b)"" to ""Arabi et al. (2020a, 2020b)"". 4. Remove duplicate volume ""Vol. 469"" in reference ""Govier, G. W. and Aziz, K"".",citation are corrected as per stated,Document elements,Citation,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 19m
2022-01-21 6:03:35,sage,cms,CMS1077897,Pre-editing,Editor,level-2,"Please clear this probe ""journal information missing""",Probe cleared,Document elements,Metadata,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 3m
2022-01-21 9:27:08,sage,cms,CMS1077913,Pre-editing,Editor,level-2,"Please clear this probe ""journal information missing""",Probe cleared,Document elements,Metadata,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 49m
2022-01-21 4:36:08,spe,spej,SJ-0621-0029.R2,Typesetter Check,Editor,level-2,"1. Delete the Auto query starting with ""Please provide an in-text citation for Table "" and ""Please note that Table""2. Change ""Eqs. 36 37"" to ""Eqs. 36 and 37""",updated xml,Queries,Query resolve,Other,Product,Product bug,Sandeep (TYPESETTER),3h 7m
2022-01-21 11:07:45,spe,spej,SJ-0621-0029.R2,Typesetter Check,Editor,level-2,Move Table A-5 to A-8 under the appendix section.,Tables moved,Document elements,Others,User not able to structure,Product,Product New Requirement,Ranjithkumar (TYPESETTER),1h 37m
2022-01-21 13:22:05,spe,spej,SJ-0621-0029.R2,Typesetter Check,Editor,level-2,"Unable to edit some nomenclature section, displayed as blank while clicking on it. please fix.","Those entries are removed, please check and add and verify the same",Probe Validation,Others,Unable to add additional elements,People,Product Missed Requirement,Ranjithkumar (TYPESETTER),24h 27m
2022-01-21 5:25:07,sage,cms,CMS1073660,Pre-editing,Editor,level-2,"Please clear this probe ""journal information missing""",Probe cleared,Document elements,Metadata,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 4m
2022-01-21 7:00:10,spe,speree,spe-209215-pa,Typesetter Review,Editor,level-2,"(1) in Fig. B-1a (add hyphen between B and 1) (2) Please change ""Fig. B-1a"" to ""Fig. B-1a"" (3) ""Fig. B-1b"" to ""Fig. B-1b"" (4) In the fig label ""Fig. B-1"" to ""Fig. B-1"" (5) ""Fig. B-2"" to ""Fig. B-2"" As well change in citations also. (6)""Fig. C-1"" to ""Fig. C-1"" As well change in citations also. (7) ""Fig. C-2"" to ""Fig. C-2"" As well change in citations also. (8) ""Fig. C-3"" to ""Fig. C-3"" As well change in citations also.If you need any doubt please refer Typesetter query, Throughout label and citation issues in appendix part.",Fig label and citations updated,Document elements,Citation,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 55m
2022-01-21 9:20:09,sage,cms,CMS1077912,Pre-editing,Editor,level-2,"Please clear this probe ""journal information missing""",Probe cleared,Document elements,Metadata,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 21m
2022-01-21 7:21:35,sage,cms,CMS1077891,Pre-editing,Editor,level-2,"Please clear these probe ""Attribute data-id should not be same"". ""journal information missing""",attribute id corrected,Document elements,Metadata,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),2h 55m
2022-01-21 11:01:01,sage,cms,CMS1078195,Pre-editing,Editor,level-2,"Please clear this probe error ""journal information missing""",Probe cleared,Document elements,Metadata,Meta data loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 52m
2022-01-21 4:29:15,elife,elife,73156,Pre-editing,Editor,level-2,"Please can you change the figure block, label, id ""uncited figure 14"" to ""Figure 6"".",figure label update by citing it.,Document elements,Topic code,Unable to add additional elements,Product,Product New Requirement,Ranjithkumar (TYPESETTER),1h 35m
2022-01-21 4:52:17,bmj,sextrans,sextrans-2021-055283,Typesetter Review,Editor,level-2,"Please fix probe on space, unable to clear at myend",Probe cleared,Document elements,Keyword,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),1h 17m
2022-01-21 12:51:32,cabi,cabi.34203,cabi.34203.007,Typesetter Check,Editor,level-2,"pls update the below points:1. UNWTO (2002) move this ref. before UNWTO - United Nations World Tourism Organization (2012) 2. in ref. Freytag, T. (2009) - the article title should be 'Low cost airlines – A booster for European city tourism? [Low-Cost Airlines – Motoren für den Städtetourismus in Europa?]' - casing getting changed while updating",Reference updated,Document elements,References,Content loading issues,Product,Product bug,Hariharan (TYPESETTER),0h 20m
2022-01-21 10:47:45,elife,elife,72357,Typesetter Review,Editor,level-2,Screenshot 2022-01-21 at 4.15.38 PM.png - SOlve this error.Also solve DTD erros=rs,Validation cleared,Document elements,References,House style incorrect,Product,Product New Requirement,Ranjithkumar (TYPESETTER),2h 8m
2022-01-21 8:36:17,spe,spej,SJ-0521-0005.R2,Typesetter Review,Editor,level-2,"Please update the Reference citation order, Sub list issue and Fig citation marked in the pdf SJ-0521-0005.R2_Vino.pdf","listed points fixed, check horizontal rules with proofing.",Document elements,Others,XML issues,Process,Product New Requirement,Ranjithkumar (TYPESETTER),3h 59m
