Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-27 5:17:29,elife,elife,68000,Typesetter Review,Editor,level-2,Please can you fix the volume and pub year to volume 11 and 2022. It shows error.Screenshot from 2022-01-27 10-46-43.png,epub year changed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),4h 5m
2022-01-27 5:56:34,elife,elife,72676,Typesetter Review,Editor,level-2,Attribute id should not be same.,PDF generateed,Document elements,Others,User unable to override the house style,Product,Process Complication,Ranjithkumar (TYPESETTER),5h 2m
2022-01-27 4:38:18,bmj,dtb,DTB-2022-000002,Typesetter Review,Editor,level-2,Please fix probe error.,Reverted back to production.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 2m
2022-01-27 8:13:54,elife,elife,69094,Pre-editing,Editor,level-2,"1. Please fix DTD error2. Please fix schrmatron error issue 3.Please add ACKNOWLEDGEMENTS We thank Joe Fetcho, Andy Bass, David Owald, and members of the Yapici Lab for comments on the manuscript. We acknowledge Bloomington Drosophila Stock Centre (NIH P40OD018537) and the Developmental Studies Hybridoma Bank (NICHD of the NIH, University of Iowa) for reagents. We thank Li Yan McCurdy (Yale University) and Matt Einhorn (Cornell University) for help with the design and construction of the custom built olfactometer, and Nancy M. Bonini (University of Pennsylvania) for her advice on the HSP70 antibody. Research in N.Y.’s laboratory is supported by a Cornell University Nancy and Peter Meinig Family Investigator Program, a Pew Scholar Award, the Alfred P. Sloan Foundation Award, AFAR Research Grant for Junior Faculty, NSF NeuroNex Program Grant (DBI-1707312), NIH R35 ESI-MIRA Grant (R35GM133698-01) and a Cornell Neurotech Mong fellowship.4. please fix ciation issue Screenshot from 2022-01-27 13-39-19.png",Listed issue updated & please correct shared screenshot in your pc,Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),6h 27m
2022-01-27 2:40:54,bmj,dtb,DTB-2022-000001,Final Deliverables,Editor,level-2,probe error,Reverted back to production.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 57m
2022-01-27 5:36:18,bmj,dtb,DTB-2021-000051,Typesetter Review,Editor,level-2,"Please remove the word ""develop"" in abstract para. image.png","Removeved ""develop"" text in abstract section.",XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 31m
2022-01-27 9:51:05,mbs,acmi,ACMI-D-21-00163,Typesetter Review,Editor,level-2,Please remove the empty author query in above figure 1. Because that query came in pdf. Untitled.png,Unwanted query removed.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),5h 14m
2022-01-27 5:33:13,spe,spej,SPE-196112-PA,Typesetter Check,Editor,level-2,"Please remove "", AustinTexasUnited States"" in Affiliation.","Removed "", AustinTexasUnited States"" in Affiliation please check.",XML,Others,Other,Process,Product bug,Pradheep (TYPESETTER),0h 45m
2022-01-27 5:52:08,bmj,wjps,wjps-2021-000371,Typesetter Review,Editor,level-2,"Please insert ""Received"" date. (13/09/2021)",Received date added please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),0h 49m
2022-01-27 9:53:53,mbs,mic,MIC-D-21-00330,Pre-editing,Editor,level-2,"1. Please change subject category ""Regulation, Sensing & Signalling"" to ""Regulation, Sensing and Signalling""2. Please fix the DTD error.",Changed subject category please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),2h 1m
