Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-01-12 11:55:00,bjp,bjj,BJJ-2021-1030.R1,Final Deliverables,Proofing,level-2,"{id: ""454c4231-1fcd-41fe-b25d-6b742cd098e9"",…}}We have updated corrections in Editor kindly provide the updated pdf",Processed in Offline.,Offline process,New issues,Workflow issues,People,Special Request,Sathish Kumar (TYPESETTER),2h 2m
2022-01-12 12:46:54,bjp,bjj,BJJ-2021-0592.R2,Final Deliverables,Proofing,level-2,"Script execution failed. Reason: undefined is not an objectCant able to get job id for this article, and also cant able to check updated corrections in pdf. I have attached correction pdf here, kindly check the corrections also.BJJ-2021-0592.R2-corections.pdf",Processed in Offline.,Offline process,New issues,Workflow issues,People,Special Request,Sathish Kumar (TYPESETTER),2h 28m
2022-01-12 12:17:49,bjp,bjj,BJJ-2021-1078.R1,Final Deliverables,Proofing,level-2,"{id: ""c9413a4f-9066-4313-bcab-f0a880fb0c53"",…}}Please provide the updated pdf",Processed in Offline.,Offline process,New issues,Workflow issues,People,Special Request,Sathish Kumar (TYPESETTER),2h 29m
2022-01-12 13:28:45,bjp,bjj,BJJ-2021-0815.R1,Final Deliverables,Proofing,level-2,Table 6 move to page number: 307.302-308 corrections.pdf,Processed in Offline.,Offline process,New issues,PDF issues,People,Special Request,Sathish Kumar (TYPESETTER),0h 52m
2022-01-12 10:10:14,bjp,bjj,BJJ-2021-1320.R1,Typesetter Review,Proofing,level-2,"{id: ""9995800b-a226-4e54-8635-432f5a1e4a56"",…}}This is yet another PDF that has been done offline - all figures have been replaced, and more details added to paper, so please update PDF urgently. This is adding more days to our workflow, so please prioritise this.",Processed in Offline.,Offline process,New issues,Workflow issues,People,Special Request,Sathish Kumar (TYPESETTER),3h 55m
2022-01-12 15:27:39,bjp,bjj,BJJ-2021-1320.R1,Typesetter Review,Editor,level-2,Fix probe error,Copyright year updated and probe error cleared,Document elements,Copyright statement,User not able to structure,Product,Product Missed Requirement,Ayyappan (TYPESETTER),0h 29m
2022-01-12 6:52:54,elife,elife,74153,Typesetter Review,Proofing,level-2,"Process this offline. Note that proof is not generating for this file. So kindly generate Figure PDF too.Job ID: 06de67e2-9c45-4b54-93f0-1398059436e2[Client request: Change the initial (PDF version under correspondence) from ""JAMcK"" to ""JAM""]Screenshot at 2022-01-12 12-22-26.png",Processed in Offline.,Offline process,New issues,PDF issues,Product,Product bug,Sathish Kumar (TYPESETTER),4h 22m
2022-01-12 12:32:14,bjp,bjj,BJJ-2021-0764.R2,Final Deliverables,Proofing,level-2,"{id: ""a323505a-753f-4119-9648-54bd6e6c3413"",…}}We have changes some changes. Kindly provide the updated pdf",Processed in Offline.,Offline process,New issues,Workflow issues,People,Special Request,Sathish Kumar (TYPESETTER),1h 32m
2022-01-12 8:10:41,elife,elife,72676,Typesetter Review,Proofing,level-2,PDF generation failed.,Proof has been generated,Proofing scripts,Job manager,Other,Product,Product bug,Aysha (TYPESETTER),3h 33m
2022-01-12 12:46:00,elife,elife,72375,Typesetter Review,Proofing,level-2,PDF generation failed. PLs fast-track.,"FigurePDF has been generated (Note: Due to some technical problem, not able to generate proof from current server. check the latest pdf which has been trigger from another server, in future if you made any changes in this article and need to generate PDF , Please let us know, We will trigger the proof from customer server. Figure proof: https://kriya2.kriyadocs.com/resources/elife/elife/eLife.72375_figure/proofing/kriya2.kriyadocs.com/eLife.72375_figure.pdf?method=server )",Proofing scripts,Job manager,PDF issues,Product,Product bug,Sathish Kumar (TYPESETTER),1h 30m
2022-01-12 4:44:53,bmj,bmjgh,bmjgh-2021-007734,Pre-editing,Proofing,level-2,"PDF generation failed, stuck at ""collect files completed"". Please fix.",Proof has been generated,Proofing scripts,Job manager,PDF issues,Product,Product bug,Sathish Kumar (TYPESETTER),3h 44m
2022-01-12 9:09:49,spe,spej,SJ-0621-0054.R2,Typesetter Review,Proofing,level-2,"Please help to fix the placement of tables, I have tried many times, even reduces figure size too, Its split only, kindly suggest or fix : https://kriya2.kriyadocs.com/resources/spe/spej/SJ-0621-0054.R2/proofing/SJ-0621-0054.R2.pdf?method=server",Fixed,Knowledge issue,Not referred FAQ,Other,People,People Training,Aysha (TYPESETTER),4h 6m
2022-01-12 5:33:22,spe,spej,SJ-0521-0075,Final Deliverables,Proofing,level-3,Probe validation failed,"No probe validation error occured. Clicked Export PDF, Pdf generated",Probe Validation,Others,Other,Product,Product bug,Abirami (TYPESETTER),7h 43m
2022-01-12 6:04:22,elife,elife,74950,Typesetter Review,Proofing,level-2,Resource table placement issue overflows.,"Resource table should tag as  but its not tagged correctly, Please check this and correct, Then try proof",Editor issue,Incorrect data,XML issues,People,People Training,Gowri Manohar (TYPESETTER),1h 35m
2022-01-12 8:43:18,elife,elife,74950,Typesetter Review,Editor,level-2,Please fix key resource table as per other articles.,KRT updated,Document elements,Others,Unable to add additional elements,Process,Product Missed Requirement,Ranjithkumar (TYPESETTER),2h 7m
2022-01-12 4:40:32,bmj,postgradmedj,postgradmedj-2022-141516,Typesetter Review,Proofing,level-2,As per client request: Please fix this article be set to one page in the PDF,Fixed,Editor issue,Reduced font size,Other,People,Special Request,Aysha (TYPESETTER),4h 53m
2022-01-12 4:26:13,bmj,bmjinnov,bmjinnov-2021-000857,Typesetter Review,Proofing,level-2,Correction marked in pdf. Please fix. bmjinnov-2021-000857.pdf,Fixed.,Template,Used spl-style,Workflow issues,People,Special Request,Sathish Kumar (TYPESETTER),4h 16m
2022-01-12 5:18:06,bmj,bmjopen,bmjopen-2021-057162,Typesetter Review,Editor,level-2,"Please change supplementary lables as ""online supplemental file 1"" and ""online supplemental file 2""","Changed supplementary lables as ""online supplemental file 1"" and ""online supplemental file 2. Please check.",XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 16m
2022-01-12 6:35:36,elife,elife,69088,Typesetter Check,Editor,level-2,"[pre-fig-specific-test-2] Figure 10 does not appear in sequence. Relative to the other figures it is placed in position 7. Please query this with the author. Warning fig-specific-test-3 [fig-specific-test-3] Figure 10 is cited, but does not appear directly after the paragraph citing it. Is that correct? Warning pre-fig-specific-test-2--Please fix figure 10 after its first citaiton [pre-fig-specific-test-2] Figure 7 does not appear in sequence. Relative to the other figures it is placed in position 8. Please query this with the author. Warning pre-fig-specific-test-2 [pre-fig-specific-test-2] Figure 8 does not appear in sequence. Relative to the other figures it is placed in position 9. Please query this with the author. Warning pre-fig-specific-test-2 [pre-fig-specific-test-2] Figure 9 does not appear in sequence. Relative to the other figures it is placed in position 10. Please query this with the author.--Please fix place float",Figure 10 moved after figure 10 citation please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),3h 18m
