Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-02-03 11:31:33,elife,elife,72416,Typesetter Check,Proofing,level-2,Unable to generate proof. Please fix.,Proof has been generated,Proofing scripts,Job manager,PDF issues,Product,Product bug,Aysha (TYPESETTER),2h 2m
2022-02-03 7:41:10,iet_books,iet_books.46568,iet_books.46568.003,Proofreading,Proofing,level-2,PDF generation failed. Process Killed. Could't generate pdf. Kindly fix the issue image.png,"For Box 3.1, resize all the images inside this box to 300 pt(max) width and then try the proof.",Proofing scripts,Others,PDF issues,Product,Product bug,Barath (TYPESETTER),4h 56m
2022-02-03 7:19:45,mbs,ijsem,IJSEM-D-21-00483,Typesetter Check,Proofing,level-2,Pdf generation failed. Error: Process killed - task exit.,Proof has been generated,Proofing scripts,Job manager,PDF issues,Product,Product bug,Aysha (TYPESETTER),1h 3m
2022-02-03 8:53:10,iet_books,iet_books.48858,iet_books.48858.001,Pre-editing,Editor,level-3,Kindy fix the probe errorimage (57).png,Updated tags for disp-quote in the rawXML and cleared the probe errors,Probe Validation,Others,XML issues,Product,Product New Requirement,Kameshwaran (TYPESETTER),3h 29m
2022-02-03 8:46:55,bir,bjr,bjr.20210791,Final Deliverables,Proofing,level-2,"download (2).png - Please fix this year, it should be 2022 in the pdf as same like editor.",kindly update epub year from your end,Knowledge issue,New FAQ,PDF issues,People,People Training,Aysha (TYPESETTER),7h 16m
2022-02-03 0:43:55,bmj,bmjopen,bmjopen-2021-055457,Typesetter Review,Proofing,level-2,"pdf generation keeps failing, please fix.",Proof has been generated,Editor issue,Tablesetter,PDF issues,Product,Product bug,Aysha (TYPESETTER),10h 33m
2022-02-03 6:25:25,ppl,bio,bio_2021_205,Typesetter Review,Proofing,level-2,Pdf generation failed. ErrorL Download failed. Invalid file name.,Proof done,Probe Validation,Others,Content loading issues,Product,Product bug,Muthukumar (TYPESETTER),7h 8m
2022-02-03 9:42:31,bjp,bjj,BJJ-2021-1320.R1,Final Deliverables,Proofing,level-2,"{id: ""b900959b-9a46-487c-8961-bf02e777d985"",…}}We have updated page no now, This is offline article kindly provide the updated pdf",Offline article for float placement reorder,Offline process,New issues,PDF issues,Product,Product bug,Sathish Kumar (TYPESETTER),3h 32m
2022-02-03 9:51:22,bjp,bjj,BJJ-2021-0904.R1,Final Deliverables,Proofing,level-2,"{id: ""bb6eda25-67fa-452b-ac9d-e47eace7729d"",…}}This is offline article, We have updated page no for this article, kindly provide te updated pdf",Processed in offline for float placement reorder,Offline process,New issues,Workflow issues,People,Special Request,Sathish Kumar (TYPESETTER),4h 19m
2022-02-03 8:43:48,elife,elife,70535,Typesetter Review,Editor,level-2,Move this to FD stage,Moving back to production,Document elements,Others,User unable to override the house style,Product,Product Missed Requirement,Ranjithkumar (TYPESETTER),1h 43m
2022-02-03 10:09:36,bjp,bjj,BJJ-2021-1389.R1,Final Deliverables,Proofing,level-2,"Customer requested to increase footnote size Table 2, Kindly fix this issue asap.",Processed in Offline for increasing table2 footnote size to 7pt as per client request.,Offline process,New issues,Workflow issues,People,Special Request,Sathish Kumar (TYPESETTER),4h 51m
2022-02-03 10:19:31,bjp,bjj,BJJ-2021-1052.R1,Final Deliverables,Proofing,level-2,Please increase table 3 footnote size,Processed in Offline for increasing table2 footnote size to 7pt as per client request.,Offline process,New issues,Other,People,Special Request,Sathish Kumar (TYPESETTER),4h 55m
2022-02-03 4:10:39,spe,spej,SJ-0821-0029.R3,Typesetter Review,Proofing,level-2,image (5).png Eqn label (2) looks big compared to label (3). Kindly fix,Fixed,Template,Equations,PDF issues,Product,Product bug,Gowri Manohar (TYPESETTER),11h 51m
