Date,Customer,Project,Article ID,Stage Name,Support Type,Level,Issue reported,Resolved notes,Category,Sub-category,What,Who,Why,Agent name,SLA
2022-02-02 4:51:12,elife,elife,75555,Typesetter Review,Proofing,level-2,Please fix the formatting of this subheading - the spacing is wrong. on page 11 and 14 please check in attached pdf75555.pdf,Fixed.,Editor issue,Bad break,XML issues,Product,Product bug,Sathish Kumar (TYPESETTER),1h 4m
2022-02-02 11:08:35,bjp,bjj,BJJ-2021-0492.R2,Typesetter Review,Proofing,level-2,"Table 2: Please place on page 8, above Table III.",Fixed.,Editor issue,Float citation,User not able to structure,People,Special Request,Sathish Kumar (TYPESETTER),0h 37m
2022-02-02 11:52:39,bjp,bjj,BJJ-2021-0492.R2,Typesetter Review,Editor,level-2,"1. Ref 9: Change ""April 16, 2012"" to ""16 April 2012""2. Fix probe",Probe cleared,Probe Validation,Others,User unable to override the house style,Product,Product bug,Hariharan (TYPESETTER),2h 31m
2022-02-02 13:06:28,elife,elife,73225,Typesetter Check,Proofing,level-2,Please fix key resource table after Materials and methods section in proof.,Fixed,Editor issue,Short page,PDF issues,Product,Product bug,Gowri Manohar (TYPESETTER),2h 53m
2022-02-02 5:14:50,elife,elife,76475,Pre-editing,Editor,level-2,PLease fix figure 1 for this articleScreenshot from 2022-02-02 10-43-57.png,not an editor issue,PDF Proof preview,Others,PDF issues,Product,Product bug,Sneka (TYPESETTER),0h 48m
2022-02-02 6:11:11,elife,elife,76475,Pre-editing,Proofing,level-2,PLease fix figure 1 for this articleb7d13c89-184b-4c85-967d-57151a006504.jpeg,Fixed.,Proofing scripts,Bug,PDF issues,Product,Product bug,Sathish Kumar (TYPESETTER),1h 11m
2022-02-02 8:01:26,elife,elife,76475,Pre-editing,Proofing,level-2,Please fix a one line from PDF we give word space still issu occursScreenshot from 2022-02-02 13-30-24.png,"Note: Please track the para using word-spacing to take-back three lines for avoiding the page4, then try the proof.",Knowledge issue,User not used proof controls,Workflow issues,People,People Training,Sathish Kumar (TYPESETTER),0h 46m
2022-02-02 4:33:28,bmj,neurintsurg,neurintsurg-2021-018589,Typesetter Review,Editor,level-2,73feb475-5133-443b-a993-2f8463106882.xlsxPlease color the 'Quality of evidence' and 'Strength of recommendation' text in the box (Evidence-based recommentation) and in table 5 with the help of color code in this excel sheet.,Color code added Table 5 and boxes please check.,XML,Others,Other,Product,Product bug,Pradheep (TYPESETTER),1h 44m
2022-02-02 13:20:48,bmj,neurintsurg,neurintsurg-2021-018589,Typesetter Review,Proofing,level-2,"Evidence-based recommendation' box outline is looking bit odd, kindly fix the outline color to match the box caption color.",Fixed.,Proofing scripts,New functionalities,Other,People,Special Request,Sathish Kumar (TYPESETTER),0h 28m
2022-02-02 7:36:40,elife,elife,71361,Typesetter Review,Proofing,level-2,Please fix the KRT displays as it should be double-column width and in same line with the text.71361.pdf,Fixed[Note: we fixed the key resources table using table-setter Refer: https://kriya2.kriyadocs.com/docs/#/frequently-asked-questions/FAQ049 ],Knowledge issue,Tablesetter - training to be given,PDF issues,People,People Training,Gowri Manohar (TYPESETTER),7h 5m
